District,Year,Population_Density
District_129,2023,3316
District_130,2018,14495
District_130,2019,19262
District_130,2020,5480
District_130,2021,15627
District_130,2022,16719
District_130,2023,2431
District_131,2018,7436
District_131,2019,9819
District_131,2020,3624
District_131,2021,3600
District_131,2022,1714
District_131,2023,13481
District_132,2018,10704
District_132,2019,4169
District_132,2020,8146
District_132,2021,8243
District_132,2022,3453
District_132,2023,6199
District_133,2018,7123
District_133,2019,1687
District_133,2020,556
District_133,2021,5230
District_133,2022,17673
District_133,2023,3261
District_134,2018,1522
District_134,2019,7903
District_134,2020,14289
District_134,2021,2140
District_134,2022,4654
District_134,2023,9143
District_135,2018,3847
District_135,2019,8337
District_135,2020,1169
District_135,2021,17998
District_135,2022,15733
District_135,2023,10529
District_136,2018,7090
District_136,2019,13812
District_136,2020,11626
District_136,2021,7355
District_136,2022,13496
District_136,2023,11333
District_137,2018,7638
District_137,2019,2054
District_137,2020,7176
District_137,2021,677
District_137,2022,4460
District_137,2023,4982
District_138,2018,8734
District_138,2019,15334
District_138,2020,3574
District_138,2021,14644
District_138,2022,7878
District_138,2023,10593
District_139,2018,6727
District_139,2019,17696
District_139,2020,1411
District_139,2021,19840
District_139,2022,13235
District_139,2023,346
District_140,2018,2196
District_140,2019,19043
District_140,2020,7224
District_140,2021,17255
District_140,2022,19999
District_140,2023,15779
District_141,2018,8937
District_141,2019,6093
District_141,2020,1140
District_141,2021,5591
District_141,2022,380
District_141,2023,4527
District_142,2018,18333
District_142,2019,18385
District_142,2020,17907
District_142,2021,15314
District_142,2022,14183
District_142,2023,10220
District_143,2018,16632
District_143,2019,6123
District_143,2020,11834
District_143,2021,731
District_143,2022,7254
District_143,2023,19511
District_144,2018,9869
District_144,2019,6159
District_144,2020,14999
District_144,2021,9692
District_144,2022,5337
District_144,2023,8281
District_145,2018,8435
District_145,2019,16562
District_145,2020,11169
District_145,2021,15321
District_145,2022,2667
District_145,2023,7640
District_146,2018,13195
District_146,2019,3008
District_146,2020,10468
District_146,2021,16007
District_146,2022,3287
District_146,2023,9587
District_147,2018,10943
District_147,2019,5545
District_147,2020,5650
District_147,2021,15277
District_147,2022,4939
District_147,2023,2388
District_148,2018,16857
District_148,2019,1250
District_148,2020,14234
District_148,2021,19000
District_148,2022,8882
District_148,2023,11309
District_149,2018,9526
District_149,2019,18384
District_149,2020,8860
District_149,2021,13231
District_149,2022,10394
District_149,2023,3285
District_150,2018,16263
District_150,2019,4618
District_150,2020,16723
District_150,2021,17419
District_150,2022,17064
District_150,2023,5895
District_151,2018,8213
District_151,2019,16282
District_151,2020,8504
District_151,2021,3998
District_151,2022,10536
District_151,2023,14523
District_152,2018,7144
District_152,2019,17123
District_152,2020,15645
District_152,2021,13934
District_152,2022,8999
District_152,2023,17434
District_153,2018,8370
District_153,2019,16867
District_153,2020,11537
District_153,2021,15359
District_153,2022,15973
District_153,2023,5834
District_154,2018,7316
District_154,2019,1367
District_154,2020,13623
District_154,2021,19491
District_154,2022,3014
District_154,2023,6091
District_155,2018,5641
District_155,2019,4519
District_155,2020,14745
District_155,2021,12260
District_155,2022,12235
District_155,2023,4555
District_156,2018,7029
District_156,2019,11277
District_156,2020,2734
District_156,2021,18526
District_156,2022,19907
District_156,2023,8933
District_157,2018,2022
District_157,2019,6472
District_157,2020,4678
District_157,2021,13820
District_157,2022,10807
District_157,2023,10790
District_158,2018,16908
District_158,2019,10817
District_158,2020,8380
District_158,2021,5087
District_158,2022,16995
District_158,2023,11951
District_159,2018,10279
District_159,2019,1988
District_159,2020,8637
District_159,2021,10291
District_159,2022,1649
District_159,2023,1764
District_160,2018,14629
District_160,2019,14772
District_160,2020,2686
District_160,2021,9782
District_160,2022,13783
District_160,2023,865
District_161,2018,1347
District_161,2019,1058
District_161,2020,12682
District_161,2021,3122
District_161,2022,11298
District_161,2023,16856
District_162,2018,5348
District_162,2019,18132
District_162,2020,5732
District_162,2021,16518
District_162,2022,13289
District_162,2023,6085
District_163,2018,1500
District_163,2019,8381
District_163,2020,16560
District_163,2021,5331
District_163,2022,8636
District_163,2023,3861
District_164,2018,13257
District_164,2019,17733
District_164,2020,5322
District_164,2021,2417
District_164,2022,1626
District_164,2023,1129
District_165,2018,15681
District_165,2019,17246
District_165,2020,17360
District_165,2021,15004
District_165,2022,6962
District_165,2023,16236
District_166,2018,15862
District_166,2019,19760
District_166,2020,15612
District_166,2021,1728
District_166,2022,12071
District_166,2023,6472
District_167,2018,8648
District_167,2019,624
District_167,2020,9342
District_167,2021,169
District_167,2022,6191
District_167,2023,8142
District_168,2018,311
District_168,2019,10404
District_168,2020,6391
District_168,2021,4459
District_168,2022,12837
District_168,2023,8614
District_169,2018,3039
District_169,2019,10002
District_169,2020,14905
District_169,2021,2481
District_169,2022,15502
District_169,2023,9367
District_170,2018,5675
District_170,2019,11789
District_170,2020,8399
District_170,2021,7470
District_170,2022,4329
District_170,2023,1487
District_171,2018,13100
District_171,2019,6718
District_171,2020,16060
District_171,2021,1311
District_171,2022,19497
District_171,2023,17387
District_172,2018,1062
District_172,2019,16536
District_172,2020,11036
District_172,2021,5551
District_172,2022,18636
District_172,2023,691
District_173,2018,10667
District_173,2019,16313
District_173,2020,5995
District_173,2021,12122
District_173,2022,979
District_173,2023,1029
District_174,2018,9789
District_174,2019,2334
District_174,2020,17948
District_174,2021,817
District_174,2022,18154
District_174,2023,6187
District_175,2018,16748
District_175,2019,2451
District_175,2020,11540
District_175,2021,14004
District_175,2022,19709
District_175,2023,15558
District_176,2018,15440
District_176,2019,10294
District_176,2020,19690
District_176,2021,19263
District_176,2022,12169
District_176,2023,8323
District_177,2018,17834
District_177,2019,4196
District_177,2020,11187
District_177,2021,5502
District_177,2022,9565
District_177,2023,7136
District_178,2018,13510
District_178,2019,18887
District_178,2020,6177
District_178,2021,4451
District_178,2022,8994
District_178,2023,13377
District_179,2018,6726
District_179,2019,10958
District_179,2020,3693
District_179,2021,14369
District_179,2022,10063
District_179,2023,1677
District_180,2018,13024
District_180,2019,10057
District_180,2020,5244
District_180,2021,2530
District_180,2022,18420
District_180,2023,8071
District_181,2018,4824
District_181,2019,14283
District_181,2020,10195
District_181,2021,13502
District_181,2022,5965
District_181,2023,11495
District_182,2018,15774
District_182,2019,12884
District_182,2020,9848
District_182,2021,4218
District_182,2022,7908
District_182,2023,15916
District_183,2018,7635
District_183,2019,2405
District_183,2020,16415
District_183,2021,16614
District_183,2022,17046
District_183,2023,1453
District_184,2018,3027
District_184,2019,18375
District_184,2020,15127
District_184,2021,16362
District_184,2022,15216
District_184,2023,4508
District_185,2018,14219
District_185,2019,3070
District_185,2020,6441
District_185,2021,14749
District_185,2022,394
District_185,2023,13541
District_186,2018,4538
District_186,2019,918
District_186,2020,19870
District_186,2021,10795
District_186,2022,2549
District_186,2023,13855
District_187,2018,17465
District_187,2019,4255
District_187,2020,15706
District_187,2021,6697
District_187,2022,11308
District_187,2023,6331
District_188,2018,10714
District_188,2019,6373
District_188,2020,1072
District_188,2021,16041
District_188,2022,17942
District_188,2023,17955
District_189,2018,17470
District_189,2019,6123
District_189,2020,2976
District_189,2021,17790
District_189,2022,10723
District_189,2023,6022
District_190,2018,3145
District_190,2019,17379
District_190,2020,13096
District_190,2021,796
District_190,2022,12730
District_190,2023,9030
District_191,2018,14524
District_191,2019,484
District_191,2020,10098
District_191,2021,17031
District_191,2022,15082
District_191,2023,16854
District_192,2018,234
District_192,2019,8490
District_192,2020,221
District_192,2021,11773
District_192,2022,831
District_192,2023,13692
District_193,2018,6276
District_193,2019,15205
District_193,2020,14219
District_193,2021,16886
District_193,2022,19159
District_193,2023,7440
District_194,2018,16650
District_194,2019,15219
District_194,2020,5146
District_194,2021,6142
District_194,2022,8050
District_194,2023,12372
District_195,2018,7641
District_195,2019,10371
District_195,2020,378
District_195,2021,19297
District_195,2022,16899
District_195,2023,2577
District_196,2018,14746
District_196,2019,13282
District_196,2020,12727
District_196,2021,3683
District_196,2022,9523
District_196,2023,15344
District_197,2018,18741
District_197,2019,7837
District_197,2020,1330
District_197,2021,19695
District_197,2022,17345
District_197,2023,7538
District_198,2018,10230
District_198,2019,5806
District_198,2020,581
District_198,2021,3524
District_198,2022,3399
District_198,2023,5043
District_199,2018,11795
District_199,2019,16046
District_199,2020,5621
District_199,2021,5117
District_199,2022,15968
District_199,2023,9058
District_200,2018,9171
District_200,2019,967
District_200,2020,15150
District_200,2021,12187
District_200,2022,12081
District_200,2023,3121
District_201,2018,17615
District_201,2019,2023
District_201,2020,14620
District_201,2021,6666
District_201,2022,1698
District_201,2023,13854
District_202,2018,19331
District_202,2019,2914
District_202,2020,13149
District_202,2021,5769
District_202,2022,8141
District_202,2023,7505
District_203,2018,19258
District_203,2019,10697
District_203,2020,8493
District_203,2021,13895
District_203,2022,16576
District_203,2023,10597
District_204,2018,6705
District_204,2019,10335
District_204,2020,2564
District_204,2021,12046
District_204,2022,14253
District_204,2023,6575
District_205,2018,6970
District_205,2019,19321
District_205,2020,15497
District_205,2021,1590
District_205,2022,15164
District_205,2023,18421
District_206,2018,13535
District_206,2019,4790
District_206,2020,8833
District_206,2021,10666
District_206,2022,14345
District_206,2023,4761
District_207,2018,13031
District_207,2019,10202
District_207,2020,7943
District_207,2021,11454
District_207,2022,7765
District_207,2023,11426
District_208,2018,13031
District_208,2019,3541
District_208,2020,16727
District_208,2021,1380
District_208,2022,18808
District_208,2023,1304
District_209,2018,11469
District_209,2019,682
District_209,2020,11921
District_209,2021,15568
District_209,2022,11626
District_209,2023,5359
District_210,2018,6741
District_210,2019,3516
District_210,2020,5729
District_210,2021,16934
District_210,2022,2135
District_210,2023,11830
District_211,2018,6072
District_211,2019,1006
District_211,2020,4150
District_211,2021,8418
District_211,2022,18662
District_211,2023,8289
District_212,2018,6366
District_212,2019,5131
District_212,2020,1757
District_212,2021,478
District_212,2022,17246
District_212,2023,18601
District_213,2018,2742
District_213,2019,14218
District_213,2020,2804
District_213,2021,758
District_213,2022,5548
District_213,2023,10742
District_214,2018,963
District_214,2019,14405
District_214,2020,11203
District_214,2021,15569
District_214,2022,19869
District_214,2023,4770
District_215,2018,19765
District_215,2019,12020
District_215,2020,8958
District_215,2021,17922
District_215,2022,4983
District_215,2023,1762
District_216,2018,11288
District_216,2019,13166
District_216,2020,4389
District_216,2021,5477
District_216,2022,2721
District_216,2023,16221
District_217,2018,16184
District_217,2019,16997
District_217,2020,5314
District_217,2021,8455
District_217,2022,18343
District_217,2023,17210
District_218,2018,19315
District_218,2019,16081
District_218,2020,1720
District_218,2021,10134
District_218,2022,5912
District_218,2023,9560
District_219,2018,7676
District_219,2019,7217
District_219,2020,14773
District_219,2021,17610
District_219,2022,17912
District_219,2023,296
District_220,2018,4606
District_220,2019,14457
District_220,2020,1714
District_220,2021,15065
District_220,2022,8599
District_220,2023,16428
District_221,2018,14886
District_221,2019,17497
District_221,2020,15402
District_221,2021,1209
District_221,2022,10676
District_221,2023,19696
District_222,2018,11650
District_222,2019,12047
District_222,2020,690
District_222,2021,15324
District_222,2022,949
District_222,2023,7208
District_223,2018,10614
District_223,2019,3113
District_223,2020,14728
District_223,2021,13522
District_223,2022,6469
District_223,2023,19127
District_224,2018,11274
District_224,2019,9769
District_224,2020,17744
District_224,2021,13061
District_224,2022,768
District_224,2023,9207
District_225,2018,6337
District_225,2019,13717
District_225,2020,2951
District_225,2021,18878
District_225,2022,9341
District_225,2023,1703
District_226,2018,12785
District_226,2019,1616
District_226,2020,19477
District_226,2021,7988
District_226,2022,1759
District_226,2023,12668
District_227,2018,15138
District_227,2019,7960
District_227,2020,5586
District_227,2021,9090
District_227,2022,4880
District_227,2023,6315
District_228,2018,8395
District_228,2019,1445
District_228,2020,9701
District_228,2021,2305
District_228,2022,5388
District_228,2023,15031
District_229,2018,17527
District_229,2019,12716
District_229,2020,16409
District_229,2021,1288
District_229,2022,10336
District_229,2023,7458
District_230,2018,19043
District_230,2019,6492
District_230,2020,5379
District_230,2021,13326
District_230,2022,12025
District_230,2023,13637
District_231,2018,8297
District_231,2019,2400
District_231,2020,5529
District_231,2021,6286
District_231,2022,2859
District_231,2023,8354
District_232,2018,19766
District_232,2019,597
District_232,2020,9067
District_232,2021,12605
District_232,2022,19074
District_232,2023,12031
District_233,2018,10612
District_233,2019,1363
District_233,2020,6945
District_233,2021,17756
District_233,2022,15341
District_233,2023,15575
District_234,2018,4388
District_234,2019,16288
District_234,2020,11528
District_234,2021,6006
District_234,2022,15617
District_234,2023,15598
District_235,2018,2523
