District,Year,Disease,Occurrences
District_7,2018,Chikungunya,0
District_7,2018,Dengue,0
District_7,2018,Yellow fever,0
District_7,2018,Malaria,0
District_7,2019,Chikungunya,1
District_7,2019,Dengue,0
District_7,2019,Yellow fever,1
District_7,2019,Malaria,1
District_7,2020,Chikungunya,1
District_7,2020,Dengue,1
District_7,2020,Yellow fever,1
District_7,2020,Malaria,1
District_7,2021,Chikungunya,1
District_7,2021,Dengue,1
District_7,2021,Yellow fever,1
District_7,2021,Malaria,0
District_7,2022,Chikungunya,0
District_7,2022,Dengue,0
District_7,2022,Yellow fever,1
District_7,2022,Malaria,1
District_7,2023,Chikungunya,1
District_7,2023,Dengue,0
District_7,2023,Yellow fever,1
District_7,2023,Malaria,1
District_8,2018,Chikungunya,0
District_8,2018,Dengue,0
District_8,2018,Yellow fever,1
District_8,2018,Malaria,1
District_8,2019,Chikungunya,0
District_8,2019,Dengue,0
District_8,2019,Yellow fever,1
District_8,2019,Malaria,0
District_8,2020,Chikungunya,0
District_8,2020,Dengue,1
District_8,2020,Yellow fever,1
District_8,2020,Malaria,1
District_8,2021,Chikungunya,0
District_8,2021,Dengue,1
District_8,2021,Yellow fever,0
District_8,2021,Malaria,1
District_8,2022,Chikungunya,1
District_8,2022,Dengue,0
District_8,2022,Yellow fever,0
District_8,2022,Malaria,1
District_8,2023,Chikungunya,0
District_8,2023,Dengue,0
District_8,2023,Yellow fever,0
District_8,2023,Malaria,1
District_9,2018,Chikungunya,1
District_9,2018,Dengue,0
District_9,2018,Yellow fever,0
District_9,2018,Malaria,1
District_9,2019,Chikungunya,1
District_9,2019,Dengue,1
District_9,2019,Yellow fever,1
District_9,2019,Malaria,1
District_9,2020,Chikungunya,1
District_9,2020,Dengue,0
District_9,2020,Yellow fever,1
District_9,2020,Malaria,1
District_9,2021,Chikungunya,0
District_9,2021,Dengue,1
District_9,2021,Yellow fever,1
District_9,2021,Malaria,1
District_9,2022,Chikungunya,1
District_9,2022,Dengue,0
District_9,2022,Yellow fever,1
District_9,2022,Malaria,0
District_9,2023,Chikungunya,0
District_9,2023,Dengue,1
District_9,2023,Yellow fever,1
District_9,2023,Malaria,1
District_10,2018,Chikungunya,1
District_10,2018,Dengue,1
District_10,2018,Yellow fever,1
District_10,2018,Malaria,1
District_10,2019,Chikungunya,1
District_10,2019,Dengue,1
District_10,2019,Yellow fever,0
District_10,2019,Malaria,1
District_10,2020,Chikungunya,0
District_10,2020,Dengue,1
District_10,2020,Yellow fever,1
District_10,2020,Malaria,1
District_10,2021,Chikungunya,1
District_10,2021,Dengue,0
District_10,2021,Yellow fever,0
District_10,2021,Malaria,0
District_10,2022,Chikungunya,0
District_10,2022,Dengue,1
District_10,2022,Yellow fever,1
District_10,2022,Malaria,0
District_10,2023,Chikungunya,1
District_10,2023,Dengue,1
District_10,2023,Yellow fever,1
District_10,2023,Malaria,1
District_11,2018,Chikungunya,0
District_11,2018,Dengue,0
District_11,2018,Yellow fever,0
District_11,2018,Malaria,0
District_11,2019,Chikungunya,0
District_11,2019,Dengue,1
District_11,2019,Yellow fever,0
District_11,2019,Malaria,0
District_11,2020,Chikungunya,0
District_11,2020,Dengue,0
District_11,2020,Yellow fever,1
District_11,2020,Malaria,0
District_11,2021,Chikungunya,1
District_11,2021,Dengue,0
District_11,2021,Yellow fever,1
District_11,2021,Malaria,1
District_11,2022,Chikungunya,1
District_11,2022,Dengue,0
District_11,2022,Yellow fever,0
District_11,2022,Malaria,1
District_11,2023,Chikungunya,1
District_11,2023,Dengue,1
District_11,2023,Yellow fever,1
District_11,2023,Malaria,0
District_12,2018,Chikungunya,0
District_12,2018,Dengue,0
District_12,2018,Yellow fever,0
District_12,2018,Malaria,0
District_12,2019,Chikungunya,1
District_12,2019,Dengue,0
District_12,2019,Yellow fever,1
District_12,2019,Malaria,0
District_12,2020,Chikungunya,1
District_12,2020,Dengue,0
District_12,2020,Yellow fever,0
District_12,2020,Malaria,0
District_12,2021,Chikungunya,0
District_12,2021,Dengue,1
District_12,2021,Yellow fever,0
District_12,2021,Malaria,0
District_12,2022,Chikungunya,1
District_12,2022,Dengue,1
District_12,2022,Yellow fever,0
District_12,2022,Malaria,1
District_12,2023,Chikungunya,1
District_12,2023,Dengue,1
District_12,2023,Yellow fever,1
District_12,2023,Malaria,1
District_13,2018,Chikungunya,0
District_13,2018,Dengue,0
District_13,2018,Yellow fever,1
District_13,2018,Malaria,0
District_13,2019,Chikungunya,1
District_13,2019,Dengue,1
District_13,2019,Yellow fever,1
District_13,2019,Malaria,0
District_13,2020,Chikungunya,1
District_13,2020,Dengue,1
District_13,2020,Yellow fever,1
District_13,2020,Malaria,1
District_13,2021,Chikungunya,1
District_13,2021,Dengue,1
District_13,2021,Yellow fever,1
District_13,2021,Malaria,1
District_13,2022,Chikungunya,1
District_13,2022,Dengue,1
District_13,2022,Yellow fever,0
District_13,2022,Malaria,1
District_13,2023,Chikungunya,0
District_13,2023,Dengue,0
District_13,2023,Yellow fever,1
District_13,2023,Malaria,0
District_14,2018,Chikungunya,1
District_14,2018,Dengue,1
District_14,2018,Yellow fever,1
District_14,2018,Malaria,0
District_14,2019,Chikungunya,0
District_14,2019,Dengue,1
District_14,2019,Yellow fever,1
District_14,2019,Malaria,1
District_14,2020,Chikungunya,0
District_14,2020,Dengue,0
District_14,2020,Yellow fever,1
District_14,2020,Malaria,1
District_14,2021,Chikungunya,0
District_14,2021,Dengue,0
District_14,2021,Yellow fever,0
District_14,2021,Malaria,0
District_14,2022,Chikungunya,1
District_14,2022,Dengue,1
District_14,2022,Yellow fever,0
District_14,2022,Malaria,1
District_14,2023,Chikungunya,1
District_14,2023,Dengue,1
District_14,2023,Yellow fever,1
District_14,2023,Malaria,0
District_15,2018,Chikungunya,0
District_15,2018,Dengue,0
District_15,2018,Yellow fever,1
District_15,2018,Malaria,0
District_15,2019,Chikungunya,0
District_15,2019,Dengue,1
District_15,2019,Yellow fever,0
District_15,2019,Malaria,0
District_15,2020,Chikungunya,1
District_15,2020,Dengue,0
District_15,2020,Yellow fever,1
District_15,2020,Malaria,0
District_15,2021,Chikungunya,0
District_15,2021,Dengue,0
District_15,2021,Yellow fever,0
District_15,2021,Malaria,0
District_15,2022,Chikungunya,0
District_15,2022,Dengue,0
District_15,2022,Yellow fever,1
District_15,2022,Malaria,0
District_15,2023,Chikungunya,1
District_15,2023,Dengue,1
District_15,2023,Yellow fever,0
District_15,2023,Malaria,1
District_16,2018,Chikungunya,1
District_16,2018,Dengue,1
District_16,2018,Yellow fever,1
District_16,2018,Malaria,1
District_16,2019,Chikungunya,1
District_16,2019,Dengue,0
District_16,2019,Yellow fever,0
District_16,2019,Malaria,1
District_16,2020,Chikungunya,1
District_16,2020,Dengue,1
District_16,2020,Yellow fever,0
District_16,2020,Malaria,0
District_16,2021,Chikungunya,1
District_16,2021,Dengue,1
District_16,2021,Yellow fever,1
District_16,2021,Malaria,0
District_16,2022,Chikungunya,0
District_16,2022,Dengue,1
District_16,2022,Yellow fever,0
District_16,2022,Malaria,1
District_16,2023,Chikungunya,1
District_16,2023,Dengue,0
District_16,2023,Yellow fever,0
District_16,2023,Malaria,0
District_17,2018,Chikungunya,0
District_17,2018,Dengue,0
District_17,2018,Yellow fever,1
District_17,2018,Malaria,0
District_17,2019,Chikungunya,1
District_17,2019,Dengue,1
District_17,2019,Yellow fever,1
District_17,2019,Malaria,0
District_17,2020,Chikungunya,0
District_17,2020,Dengue,1
District_17,2020,Yellow fever,0
District_17,2020,Malaria,1
District_17,2021,Chikungunya,0
District_17,2021,Dengue,1
District_17,2021,Yellow fever,1
District_17,2021,Malaria,1
District_17,2022,Chikungunya,1
District_17,2022,Dengue,1
District_17,2022,Yellow fever,1
District_17,2022,Malaria,0
District_17,2023,Chikungunya,0
District_17,2023,Dengue,0
District_17,2023,Yellow fever,1
District_17,2023,Malaria,0
District_18,2018,Chikungunya,1
District_18,2018,Dengue,0
District_18,2018,Yellow fever,1
District_18,2018,Malaria,0
District_18,2019,Chikungunya,0
District_18,2019,Dengue,1
District_18,2019,Yellow fever,0
District_18,2019,Malaria,1
District_18,2020,Chikungunya,0
District_18,2020,Dengue,1
District_18,2020,Yellow fever,1
District_18,2020,Malaria,0
District_18,2021,Chikungunya,0
District_18,2021,Dengue,0
District_18,2021,Yellow fever,0
District_18,2021,Malaria,0
District_18,2022,Chikungunya,0
District_18,2022,Dengue,1
District_18,2022,Yellow fever,0
District_18,2022,Malaria,0
District_18,2023,Chikungunya,0
District_18,2023,Dengue,1
District_18,2023,Yellow fever,0
District_18,2023,Malaria,1
District_19,2018,Chikungunya,0
District_19,2018,Dengue,1
District_19,2018,Yellow fever,1
District_19,2018,Malaria,0
District_19,2019,Chikungunya,0
District_19,2019,Dengue,1
District_19,2019,Yellow fever,0
District_19,2019,Malaria,0
District_19,2020,Chikungunya,0
District_19,2020,Dengue,1
District_19,2020,Yellow fever,0
District_19,2020,Malaria,0
District_19,2021,Chikungunya,0
District_19,2021,Dengue,0
District_19,2021,Yellow fever,0
District_19,2021,Malaria,0
District_19,2022,Chikungunya,1
District_19,2022,Dengue,1
District_19,2022,Yellow fever,1
District_19,2022,Malaria,0
District_19,2023,Chikungunya,0
District_19,2023,Dengue,1
District_19,2023,Yellow fever,0
District_19,2023,Malaria,1
District_20,2018,Chikungunya,1
District_20,2018,Dengue,1
District_20,2018,Yellow fever,1
District_20,2018,Malaria,0
District_20,2019,Chikungunya,1
District_20,2019,Dengue,1
District_20,2019,Yellow fever,0
District_20,2019,Malaria,1
District_20,2020,Chikungunya,1
District_20,2020,Dengue,1
District_20,2020,Yellow fever,1
District_20,2020,Malaria,1
District_20,2021,Chikungunya,1
District_20,2021,Dengue,0
District_20,2021,Yellow fever,1
District_20,2021,Malaria,0
District_20,2022,Chikungunya,1
District_20,2022,Dengue,0
District_20,2022,Yellow fever,1
District_20,2022,Malaria,0
District_20,2023,Chikungunya,0
District_20,2023,Dengue,0
District_20,2023,Yellow fever,0
District_20,2023,Malaria,1
District_21,2018,Chikungunya,0
District_21,2018,Dengue,1
District_21,2018,Yellow fever,1
District_21,2018,Malaria,1
District_21,2019,Chikungunya,0
District_21,2019,Dengue,1
District_21,2019,Yellow fever,0
District_21,2019,Malaria,0
District_21,2020,Chikungunya,0
District_21,2020,Dengue,1
District_21,2020,Yellow fever,1
District_21,2020,Malaria,0
District_21,2021,Chikungunya,1
District_21,2021,Dengue,0
District_21,2021,Yellow fever,1
District_21,2021,Malaria,0
District_21,2022,Chikungunya,0
District_21,2022,Dengue,0
District_21,2022,Yellow fever,1
District_21,2022,Malaria,0
District_21,2023,Chikungunya,1
District_21,2023,Dengue,0
District_21,2023,Yellow fever,0
District_21,2023,Malaria,0
District_22,2018,Chikungunya,1
District_22,2018,Dengue,0
District_22,2018,Yellow fever,1
District_22,2018,Malaria,0
District_22,2019,Chikungunya,1
District_22,2019,Dengue,1
District_22,2019,Yellow fever,1
District_22,2019,Malaria,1
District_22,2020,Chikungunya,1
District_22,2020,Dengue,0
District_22,2020,Yellow fever,0
District_22,2020,Malaria,0
District_22,2021,Chikungunya,0
District_22,2021,Dengue,1
District_22,2021,Yellow fever,0
District_22,2021,Malaria,0
District_22,2022,Chikungunya,1
District_22,2022,Dengue,1
District_22,2022,Yellow fever,0
District_22,2022,Malaria,0
District_22,2023,Chikungunya,1
District_22,2023,Dengue,1
District_22,2023,Yellow fever,1
District_22,2023,Malaria,1
District_23,2018,Chikungunya,1
District_23,2018,Dengue,0
District_23,2018,Yellow fever,0
District_23,2018,Malaria,1
District_23,2019,Chikungunya,1
District_23,2019,Dengue,1
District_23,2019,Yellow fever,1
District_23,2019,Malaria,0
District_23,2020,Chikungunya,0
District_23,2020,Dengue,0
District_23,2020,Yellow fever,1
District_23,2020,Malaria,0
District_23,2021,Chikungunya,0
District_23,2021,Dengue,0
District_23,2021,Yellow fever,0
District_23,2021,Malaria,0
District_23,2022,Chikungunya,1
District_23,2022,Dengue,0
District_23,2022,Yellow fever,0
District_23,2022,Malaria,0
District_23,2023,Chikungunya,0
District_23,2023,Dengue,0
District_23,2023,Yellow fever,1
District_23,2023,Malaria,0
District_24,2018,Chikungunya,0
District_24,2018,Dengue,1
District_24,2018,Yellow fever,1
District_24,2018,Malaria,1
District_24,2019,Chikungunya,1
District_24,2019,Dengue,0
District_24,2019,Yellow fever,1
District_24,2019,Malaria,1
District_24,2020,Chikungunya,0
District_24,2020,Dengue,1
District_24,2020,Yellow fever,1
District_24,2020,Malaria,1
District_24,2021,Chikungunya,1
District_24,2021,Dengue,0
District_24,2021,Yellow fever,0
District_24,2021,Malaria,1
District_24,2022,Chikungunya,1
District_24,2022,Dengue,1
District_24,2022,Yellow fever,1
District_24,2022,Malaria,0
District_24,2023,Chikungunya,1
District_24,2023,Dengue,0
District_24,2023,Yellow fever,1
District_24,2023,Malaria,1
District_25,2018,Chikungunya,0
District_25,2018,Dengue,1
District_25,2018,Yellow fever,1
District_25,2018,Malaria,1
District_25,2019,Chikungunya,1
District_25,2019,Dengue,0
District_25,2019,Yellow fever,0
District_25,2019,Malaria,1
District_25,2020,Chikungunya,1
District_25,2020,Dengue,0
District_25,2020,Yellow fever,0
District_25,2020,Malaria,0
District_25,2021,Chikungunya,0
District_25,2021,Dengue,0
District_25,2021,Yellow fever,1
District_25,2021,Malaria,0
District_25,2022,Chikungunya,1
District_25,2022,Dengue,0
District_25,2022,Yellow fever,1
District_25,2022,Malaria,0
District_25,2023,Chikungunya,0
District_25,2023,Dengue,1
District_25,2023,Yellow fever,1
District_25,2023,Malaria,1
District_26,2018,Chikungunya,1
District_26,2018,Dengue,0
District_26,2018,Yellow fever,1
District_26,2018,Malaria,1
District_26,2019,Chikungunya,1
District_26,2019,Dengue,1
District_26,2019,Yellow fever,0
District_26,2019,Malaria,1
District_26,2020,Chikungunya,0
District_26,2020,Dengue,0
District_26,2020,Yellow fever,0
District_26,2020,Malaria,0
District_26,2021,Chikungunya,0
District_26,2021,Dengue,1
District_26,2021,Yellow fever,0
District_26,2021,Malaria,0
District_26,2022,Chikungunya,0
District_26,2022,Dengue,0
District_26,2022,Yellow fever,0
District_26,2022,Malaria,1
District_26,2023,Chikungunya,1
District_26,2023,Dengue,0
District_26,2023,Yellow fever,1
District_26,2023,Malaria,1
District_27,2018,Chikungunya,0
District_27,2018,Dengue,1
District_27,2018,Yellow fever,0
District_27,2018,Malaria,1
District_27,2019,Chikungunya,0
District_27,2019,Dengue,0
District_27,2019,Yellow fever,1
District_27,2019,Malaria,1
District_27,2020,Chikungunya,0
District_27,2020,Dengue,1
District_27,2020,Yellow fever,1
District_27,2020,Malaria,0
District_27,2021,Chikungunya,0
District_27,2021,Dengue,0
District_27,2021,Yellow fever,0
District_27,2021,Malaria,1
District_27,2022,Chikungunya,0
District_27,2022,Dengue,1
District_27,2022,Yellow fever,0
District_27,2022,Malaria,1
District_27,2023,Chikungunya,1
District_27,2023,Dengue,1
District_27,2023,Yellow fever,1
District_27,2023,Malaria,0
District_28,2018,Chikungunya,0
District_28,2018,Dengue,0
District_28,2018,Yellow fever,0
District_28,2018,Malaria,0
District_28,2019,Chikungunya,0
District_28,2019,Dengue,1
District_28,2019,Yellow fever,0
District_28,2019,Malaria,0
District_28,2020,Chikungunya,1
District_28,2020,Dengue,0
District_28,2020,Yellow fever,1
District_28,2020,Malaria,1
District_28,2021,Chikungunya,1
District_28,2021,Dengue,1
District_28,2021,Yellow fever,1
District_28,2021,Malaria,0
District_28,2022,Chikungunya,0
District_28,2022,Dengue,1
District_28,2022,Yellow fever,1
District_28,2022,Malaria,0
District_28,2023,Chikungunya,1
District_28,2023,Dengue,1
District_28,2023,Yellow fever,1
District_28,2023,Malaria,1
District_29,2018,Chikungunya,1
District_29,2018,Dengue,0
District_29,2018,Yellow fever,1
District_29,2018,Malaria,0
District_29,2019,Chikungunya,0
District_29,2019,Dengue,1
District_29,2019,Yellow fever,0
District_29,2019,Malaria,0
District_29,2020,Chikungunya,1
District_29,2020,Dengue,1
District_29,2020,Yellow fever,0
District_29,2020,Malaria,0
District_29,2021,Chikungunya,0
District_29,2021,Dengue,0
District_29,2021,Yellow fever,1
District_29,2021,Malaria,0
District_29,2022,Chikungunya,1
District_29,2022,Dengue,1
District_29,2022,Yellow fever,1
District_29,2022,Malaria,1
District_29,2023,Chikungunya,0
District_29,2023,Dengue,1
District_29,2023,Yellow fever,0
District_29,2023,Malaria,1
District_30,2018,Chikungunya,0
District_30,2018,Dengue,1
District_30,2018,Yellow fever,0
District_30,2018,Malaria,0
District_30,2019,Chikungunya,0
District_30,2019,Dengue,1
District_30,2019,Yellow fever,1
District_30,2019,Malaria,0
District_30,2020,Chikungunya,0
District_30,2020,Dengue,0
District_30,2020,Yellow fever,0
District_30,2020,Malaria,0
District_30,2021,Chikungunya,0
District_30,2021,Dengue,1
District_30,2021,Yellow fever,0
District_30,2021,Malaria,0
District_30,2022,Chikungunya,0
District_30,2022,Dengue,0
District_30,2022,Yellow fever,1
District_30,2022,Malaria,0
District_30,2023,Chikungunya,0
District_30,2023,Dengue,1
District_30,2023,Yellow fever,0
District_30,2023,Malaria,0
District_31,2018,Chikungunya,0
District_31,2018,Dengue,0
District_31,2018,Yellow fever,1
District_31,2018,Malaria,1
District_31,2019,Chikungunya,1
District_31,2019,Dengue,1
District_31,2019,Yellow fever,1
District_31,2019,Malaria,0
District_31,2020,Chikungunya,0
District_31,2020,Dengue,0
District_31,2020,Yellow fever,0
District_31,2020,Malaria,0
District_31,2021,Chikungunya,1
District_31,2021,Dengue,0
District_31,2021,Yellow fever,0
District_31,2021,Malaria,0
District_31,2022,Chikungunya,1
District_31,2022,Dengue,0
District_31,2022,Yellow fever,0
District_31,2022,Malaria,0
District_31,2023,Chikungunya,1
District_31,2023,Dengue,1
District_31,2023,Yellow fever,1
District_31,2023,Malaria,0
District_32,2018,Chikungunya,1
District_32,2018,Dengue,0
District_32,2018,Yellow fever,1
District_32,2018,Malaria,1
District_32,2019,Chikungunya,0
District_32,2019,Dengue,1
District_32,2019,Yellow fever,1
District_32,2019,Malaria,0
District_32,2020,Chikungunya,0
District_32,2020,Dengue,0
District_32,2020,Yellow fever,0
District_32,2020,Malaria,1
District_32,2021,Chikungunya,0
District_32,2021,Dengue,0
District_32,2021,Yellow fever,1
District_32,2021,Malaria,1
District_32,2022,Chikungunya,0
District_32,2022,Dengue,0
District_32,2022,Yellow fever,0
District_32,2022,Malaria,0
District_32,2023,Chikungunya,1
District_32,2023,Dengue,1
District_32,2023,Yellow fever,1
District_32,2023,Malaria,1
District_33,2018,Chikungunya,1
District_33,2018,Dengue,1
District_33,2018,Yellow fever,1
District_33,2018,Malaria,1
District_33,2019,Chikungunya,1
District_33,2019,Dengue,0
District_33,2019,Yellow fever,0
District_33,2019,Malaria,1
District_33,2020,Chikungunya,0
District_33,2020,Dengue,0
District_33,2020,Yellow fever,0
District_33,2020,Malaria,0
District_33,2021,Chikungunya,0
District_33,2021,Dengue,1
District_33,2021,Yellow fever,1
District_33,2021,Malaria,0
District_33,2022,Chikungunya,1
District_33,2022,Dengue,0
District_33,2022,Yellow fever,0
District_33,2022,Malaria,1
District_33,2023,Chikungunya,0
District_33,2023,Dengue,1
District_33,2023,Yellow fever,1
District_33,2023,Malaria,1
District_34,2018,Chikungunya,0
District_34,2018,Dengue,0
District_34,2018,Yellow fever,0
District_34,2018,Malaria,0
District_34,2019,Chikungunya,0
District_34,2019,Dengue,0
District_34,2019,Yellow fever,1
District_34,2019,Malaria,1
District_34,2020,Chikungunya,1
District_34,2020,Dengue,1
District_34,2020,Yellow fever,1
District_34,2020,Malaria,1
District_34,2021,Chikungunya,1
District_34,2021,Dengue,1
District_34,2021,Yellow fever,0
District_34,2021,Malaria,0
District_34,2022,Chikungunya,1
District_34,2022,Dengue,0
District_34,2022,Yellow fever,0
District_34,2022,Malaria,0
District_34,2023,Chikungunya,0
District_34,2023,Dengue,0
District_34,2023,Yellow fever,0
District_34,2023,Malaria,0
District_35,2018,Chikungunya,0
District_35,2018,Dengue,1
District_35,2018,Yellow fever,1
District_35,2018,Malaria,1
District_35,2019,Chikungunya,0
District_35,2019,Dengue,1
District_35,2019,Yellow fever,0
District_35,2019,Malaria,0
District_35,2020,Chikungunya,1
District_35,2020,Dengue,1
District_35,2020,Yellow fever,0
District_35,2020,Malaria,1
District_35,2021,Chikungunya,0
District_35,2021,Dengue,1
District_35,2021,Yellow fever,1
District_35,2021,Malaria,0
District_35,2022,Chikungunya,1
District_35,2022,Dengue,1
District_35,2022,Yellow fever,0
District_35,2022,Malaria,0
District_35,2023,Chikungunya,0
District_35,2023,Dengue,1
District_35,2023,Yellow fever,1
District_35,2023,Malaria,1
District_36,2018,Chikungunya,0
District_36,2018,Dengue,0
District_36,2018,Yellow fever,1
District_36,2018,Malaria,0
District_36,2019,Chikungunya,0
District_36,2019,Dengue,0
District_36,2019,Yellow fever,0
District_36,2019,Malaria,0
District_36,2020,Chikungunya,0
District_36,2020,Dengue,0
District_36,2020,Yellow fever,1
District_36,2020,Malaria,0
District_36,2021,Chikungunya,1
District_36,2021,Dengue,1
District_36,2021,Yellow fever,0
District_36,2021,Malaria,0
District_36,2022,Chikungunya,1
District_36,2022,Dengue,0
District_36,2022,Yellow fever,0
District_36,2022,Malaria,1
District_36,2023,Chikungunya,1
District_36,2023,Dengue,1
District_36,2023,Yellow fever,1
District_36,2023,Malaria,1
District_37,2018,Chikungunya,0
District_37,2018,Dengue,1
District_37,2018,Yellow fever,0
District_37,2018,Malaria,1
District_37,2019,Chikungunya,1
District_37,2019,Dengue,0
District_37,2019,Yellow fever,1
District_37,2019,Malaria,1
District_37,2020,Chikungunya,1
District_37,2020,Dengue,1
District_37,2020,Yellow fever,0
District_37,2020,Malaria,0
District_37,2021,Chikungunya,0
District_37,2021,Dengue,0
District_37,2021,Yellow fever,1
District_37,2021,Malaria,0
District_37,2022,Chikungunya,1
District_37,2022,Dengue,0
District_37,2022,Yellow fever,0
District_37,2022,Malaria,1
District_37,2023,Chikungunya,0
District_37,2023,Dengue,1
District_37,2023,Yellow fever,1
District_37,2023,Malaria,0
District_38,2018,Chikungunya,1
District_38,2018,Dengue,1
District_38,2018,Yellow fever,0
District_38,2018,Malaria,1
District_38,2019,Chikungunya,1
District_38,2019,Dengue,1
District_38,2019,Yellow fever,0
District_38,2019,Malaria,1
District_38,2020,Chikungunya,0
District_38,2020,Dengue,0
District_38,2020,Yellow fever,0
District_38,2020,Malaria,0
District_38,2021,Chikungunya,0
District_38,2021,Dengue,1
District_38,2021,Yellow fever,1
District_38,2021,Malaria,0
District_38,2022,Chikungunya,0
District_38,2022,Dengue,1
District_38,2022,Yellow fever,0
District_38,2022,Malaria,1
District_38,2023,Chikungunya,0
District_38,2023,Dengue,1
District_38,2023,Yellow fever,1
District_38,2023,Malaria,1
District_39,2018,Chikungunya,0
District_39,2018,Dengue,1
District_39,2018,Yellow fever,0
District_39,2018,Malaria,1
District_39,2019,Chikungunya,0
District_39,2019,Dengue,0
District_39,2019,Yellow fever,1
District_39,2019,Malaria,0
District_39,2020,Chikungunya,1
District_39,2020,Dengue,1
District_39,2020,Yellow fever,1
District_39,2020,Malaria,0
District_39,2021,Chikungunya,0
District_39,2021,Dengue,1
District_39,2021,Yellow fever,1
District_39,2021,Malaria,0
District_39,2022,Chikungunya,1
District_39,2022,Dengue,0
District_39,2022,Yellow fever,1
