District,Disease,Year,No_of_Cases,Quarter
District_29,Chikungunya,2018,75,1
District_29,Dengue,2018,84,1
District_29,Yellow fever,2018,30,1
District_29,Malaria,2018,79,1
District_29,Chikungunya,2018,20,2
District_29,Dengue,2018,39,2
District_29,Yellow fever,2018,29,2
District_29,Malaria,2018,65,2
District_29,Chikungunya,2018,79,3
District_29,Dengue,2018,43,3
District_29,Yellow fever,2018,58,3
District_29,Malaria,2018,64,3
District_30,Chikungunya,2018,26,0
District_30,Dengue,2018,62,0
District_30,Yellow fever,2018,59,0
District_30,Malaria,2018,23,0
District_30,Chikungunya,2018,0,1
District_30,Dengue,2018,19,1
District_30,Yellow fever,2018,45,1
District_30,Malaria,2018,17,1
District_30,Chikungunya,2018,44,2
District_30,Dengue,2018,46,2
District_30,Yellow fever,2018,84,2
District_30,Malaria,2018,17,2
District_30,Chikungunya,2018,14,3
District_30,Dengue,2018,70,3
District_30,Yellow fever,2018,34,3
District_30,Malaria,2018,70,3
District_31,Chikungunya,2018,4,0
District_31,Dengue,2018,6,0
District_31,Yellow fever,2018,96,0
District_31,Malaria,2018,86,0
District_31,Chikungunya,2018,60,1
District_31,Dengue,2018,38,1
District_31,Yellow fever,2018,80,1
District_31,Malaria,2018,65,1
District_31,Chikungunya,2018,74,2
District_31,Dengue,2018,4,2
District_31,Yellow fever,2018,94,2
District_31,Malaria,2018,19,2
District_31,Chikungunya,2018,38,3
District_31,Dengue,2018,14,3
District_31,Yellow fever,2018,44,3
District_31,Malaria,2018,26,3
District_32,Chikungunya,2018,89,0
District_32,Dengue,2018,41,0
District_32,Yellow fever,2018,82,0
District_32,Malaria,2018,97,0
District_32,Chikungunya,2018,43,1
District_32,Dengue,2018,45,1
District_32,Yellow fever,2018,15,1
District_32,Malaria,2018,39,1
District_32,Chikungunya,2018,2,2
District_32,Dengue,2018,70,2
District_32,Yellow fever,2018,74,2
District_32,Malaria,2018,47,2
District_32,Chikungunya,2018,72,3
District_32,Dengue,2018,72,3
District_32,Yellow fever,2018,56,3
District_32,Malaria,2018,34,3
District_33,Chikungunya,2018,0,0
District_33,Dengue,2018,56,0
District_33,Yellow fever,2018,32,0
District_33,Malaria,2018,12,0
District_33,Chikungunya,2018,3,1
District_33,Dengue,2018,18,1
District_33,Yellow fever,2018,74,1
District_33,Malaria,2018,98,1
District_33,Chikungunya,2018,62,2
District_33,Dengue,2018,59,2
District_33,Yellow fever,2018,76,2
District_33,Malaria,2018,86,2
District_33,Chikungunya,2018,60,3
District_33,Dengue,2018,4,3
District_33,Yellow fever,2018,69,3
District_33,Malaria,2018,99,3
District_34,Chikungunya,2018,66,0
District_34,Dengue,2018,18,0
District_34,Yellow fever,2018,63,0
District_34,Malaria,2018,57,0
District_34,Chikungunya,2018,14,1
District_34,Dengue,2018,35,1
District_34,Yellow fever,2018,9,1
District_34,Malaria,2018,24,1
District_34,Chikungunya,2018,92,2
District_34,Dengue,2018,9,2
District_34,Yellow fever,2018,70,2
District_34,Malaria,2018,20,2
District_34,Chikungunya,2018,12,3
District_34,Dengue,2018,82,3
District_34,Yellow fever,2018,94,3
District_34,Malaria,2018,63,3
District_35,Chikungunya,2018,80,0
District_35,Dengue,2018,74,0
District_35,Yellow fever,2018,81,0
District_35,Malaria,2018,90,0
District_35,Chikungunya,2018,41,1
District_35,Dengue,2018,56,1
District_35,Yellow fever,2018,68,1
District_35,Malaria,2018,5,1
District_35,Chikungunya,2018,78,2
District_35,Dengue,2018,98,2
District_35,Yellow fever,2018,87,2
District_35,Malaria,2018,17,2
District_35,Chikungunya,2018,25,3
District_35,Dengue,2018,64,3
District_35,Yellow fever,2018,94,3
District_35,Malaria,2018,59,3
District_36,Chikungunya,2018,75,0
District_36,Dengue,2018,54,0
District_36,Yellow fever,2018,13,0
District_36,Malaria,2018,43,0
District_36,Chikungunya,2018,80,1
District_36,Dengue,2018,51,1
District_36,Yellow fever,2018,39,1
District_36,Malaria,2018,84,1
District_36,Chikungunya,2018,72,2
District_36,Dengue,2018,89,2
District_36,Yellow fever,2018,72,2
District_36,Malaria,2018,31,2
District_36,Chikungunya,2018,85,3
District_36,Dengue,2018,8,3
District_36,Yellow fever,2018,19,3
District_36,Malaria,2018,51,3
District_37,Chikungunya,2018,26,0
District_37,Dengue,2018,14,0
District_37,Yellow fever,2018,60,0
District_37,Malaria,2018,68,0
District_37,Chikungunya,2018,99,1
District_37,Dengue,2018,65,1
District_37,Yellow fever,2018,29,1
District_37,Malaria,2018,49,1
District_37,Chikungunya,2018,55,2
District_37,Dengue,2018,69,2
District_37,Yellow fever,2018,91,2
District_37,Malaria,2018,84,2
District_37,Chikungunya,2018,48,3
District_37,Dengue,2018,55,3
District_37,Yellow fever,2018,73,3
District_37,Malaria,2018,25,3
District_38,Chikungunya,2018,87,0
District_38,Dengue,2018,65,0
District_38,Yellow fever,2018,16,0
District_38,Malaria,2018,85,0
District_38,Chikungunya,2018,72,1
District_38,Dengue,2018,41,1
District_38,Yellow fever,2018,34,1
District_38,Malaria,2018,2,1
District_38,Chikungunya,2018,82,2
District_38,Dengue,2018,75,2
District_38,Yellow fever,2018,17,2
District_38,Malaria,2018,2,2
District_38,Chikungunya,2018,88,3
District_38,Dengue,2018,82,3
District_38,Yellow fever,2018,11,3
District_38,Malaria,2018,36,3
District_39,Chikungunya,2018,85,0
District_39,Dengue,2018,60,0
District_39,Yellow fever,2018,35,0
District_39,Malaria,2018,88,0
District_39,Chikungunya,2018,9,1
District_39,Dengue,2018,5,1
District_39,Yellow fever,2018,41,1
District_39,Malaria,2018,87,1
District_39,Chikungunya,2018,94,2
District_39,Dengue,2018,17,2
District_39,Yellow fever,2018,90,2
District_39,Malaria,2018,37,2
District_39,Chikungunya,2018,67,3
District_39,Dengue,2018,41,3
District_39,Yellow fever,2018,49,3
District_39,Malaria,2018,94,3
District_40,Chikungunya,2018,33,0
District_40,Dengue,2018,45,0
District_40,Yellow fever,2018,0,0
District_40,Malaria,2018,41,0
District_40,Chikungunya,2018,82,1
District_40,Dengue,2018,71,1
District_40,Yellow fever,2018,82,1
District_40,Malaria,2018,88,1
District_40,Chikungunya,2018,18,2
District_40,Dengue,2018,59,2
District_40,Yellow fever,2018,87,2
District_40,Malaria,2018,20,2
District_40,Chikungunya,2018,54,3
District_40,Dengue,2018,94,3
District_40,Yellow fever,2018,1,3
District_40,Malaria,2018,66,3
District_41,Chikungunya,2018,19,0
District_41,Dengue,2018,86,0
District_41,Yellow fever,2018,59,0
District_41,Malaria,2018,88,0
District_41,Chikungunya,2018,26,1
District_41,Dengue,2018,44,1
District_41,Yellow fever,2018,2,1
District_41,Malaria,2018,2,1
District_41,Chikungunya,2018,3,2
District_41,Dengue,2018,75,2
District_41,Yellow fever,2018,57,2
District_41,Malaria,2018,22,2
District_41,Chikungunya,2018,23,3
District_41,Dengue,2018,98,3
District_41,Yellow fever,2018,73,3
District_41,Malaria,2018,34,3
District_42,Chikungunya,2018,36,0
District_42,Dengue,2018,91,0
District_42,Yellow fever,2018,93,0
District_42,Malaria,2018,76,0
District_42,Chikungunya,2018,31,1
District_42,Dengue,2018,16,1
District_42,Yellow fever,2018,89,1
District_42,Malaria,2018,74,1
District_42,Chikungunya,2018,6,2
District_42,Dengue,2018,84,2
District_42,Yellow fever,2018,30,2
District_42,Malaria,2018,16,2
District_42,Chikungunya,2018,35,3
District_42,Dengue,2018,40,3
District_42,Yellow fever,2018,89,3
District_42,Malaria,2018,74,3
District_43,Chikungunya,2018,80,0
District_43,Dengue,2018,44,0
District_43,Yellow fever,2018,16,0
District_43,Malaria,2018,88,0
District_43,Chikungunya,2018,47,1
District_43,Dengue,2018,79,1
District_43,Yellow fever,2018,91,1
District_43,Malaria,2018,88,1
District_43,Chikungunya,2018,9,2
District_43,Dengue,2018,94,2
District_43,Yellow fever,2018,12,2
District_43,Malaria,2018,85,2
District_43,Chikungunya,2018,31,3
District_43,Dengue,2018,16,3
District_43,Yellow fever,2018,76,3
District_43,Malaria,2018,77,3
District_44,Chikungunya,2018,77,0
District_44,Dengue,2018,34,0
District_44,Yellow fever,2018,23,0
District_44,Malaria,2018,50,0
District_44,Chikungunya,2018,97,1
District_44,Dengue,2018,21,1
District_44,Yellow fever,2018,32,1
District_44,Malaria,2018,92,1
District_44,Chikungunya,2018,68,2
District_44,Dengue,2018,3,2
District_44,Yellow fever,2018,22,2
District_44,Malaria,2018,43,2
District_44,Chikungunya,2018,51,3
District_44,Dengue,2018,70,3
District_44,Yellow fever,2018,80,3
District_44,Malaria,2018,50,3
District_45,Chikungunya,2018,33,0
District_45,Dengue,2018,51,0
District_45,Yellow fever,2018,17,0
District_45,Malaria,2018,93,0
District_45,Chikungunya,2018,7,1
District_45,Dengue,2018,7,1
District_45,Yellow fever,2018,90,1
District_45,Malaria,2018,93,1
District_45,Chikungunya,2018,84,2
District_45,Dengue,2018,7,2
District_45,Yellow fever,2018,86,2
District_45,Malaria,2018,21,2
District_45,Chikungunya,2018,54,3
District_45,Dengue,2018,9,3
District_45,Yellow fever,2018,20,3
District_45,Malaria,2018,38,3
District_46,Chikungunya,2018,87,0
District_46,Dengue,2018,67,0
District_46,Yellow fever,2018,71,0
District_46,Malaria,2018,1,0
District_46,Chikungunya,2018,57,1
District_46,Dengue,2018,34,1
District_46,Yellow fever,2018,99,1
District_46,Malaria,2018,62,1
District_46,Chikungunya,2018,67,2
District_46,Dengue,2018,63,2
District_46,Yellow fever,2018,42,2
District_46,Malaria,2018,26,2
District_46,Chikungunya,2018,77,3
District_46,Dengue,2018,97,3
District_46,Yellow fever,2018,33,3
District_46,Malaria,2018,25,3
District_47,Chikungunya,2018,64,0
District_47,Dengue,2018,71,0
District_47,Yellow fever,2018,7,0
District_47,Malaria,2018,36,0
District_47,Chikungunya,2018,29,1
District_47,Dengue,2018,24,1
District_47,Yellow fever,2018,69,1
District_47,Malaria,2018,87,1
District_47,Chikungunya,2018,24,2
District_47,Dengue,2018,76,2
District_47,Yellow fever,2018,49,2
District_47,Malaria,2018,63,2
District_47,Chikungunya,2018,19,3
District_47,Dengue,2018,65,3
District_47,Yellow fever,2018,82,3
District_47,Malaria,2018,36,3
District_48,Chikungunya,2018,5,0
District_48,Dengue,2018,81,0
District_48,Yellow fever,2018,69,0
District_48,Malaria,2018,34,0
District_48,Chikungunya,2018,73,1
District_48,Dengue,2018,38,1
District_48,Yellow fever,2018,33,1
District_48,Malaria,2018,49,1
District_48,Chikungunya,2018,42,2
District_48,Dengue,2018,11,2
District_48,Yellow fever,2018,14,2
District_48,Malaria,2018,63,2
District_48,Chikungunya,2018,65,3
District_48,Dengue,2018,62,3
District_48,Yellow fever,2018,73,3
District_48,Malaria,2018,22,3
District_49,Chikungunya,2018,96,0
District_49,Dengue,2018,77,0
District_49,Yellow fever,2018,57,0
District_49,Malaria,2018,32,0
District_49,Chikungunya,2018,34,1
District_49,Dengue,2018,9,1
District_49,Yellow fever,2018,66,1
District_49,Malaria,2018,15,1
District_49,Chikungunya,2018,89,2
District_49,Dengue,2018,72,2
District_49,Yellow fever,2018,27,2
District_49,Malaria,2018,91,2
District_49,Chikungunya,2018,53,3
District_49,Dengue,2018,52,3
District_49,Yellow fever,2018,58,3
District_49,Malaria,2018,46,3
District_50,Chikungunya,2018,71,0
District_50,Dengue,2018,83,0
District_50,Yellow fever,2018,69,0
District_50,Malaria,2018,4,0
District_50,Chikungunya,2018,60,1
District_50,Dengue,2018,26,1
District_50,Yellow fever,2018,45,1
District_50,Malaria,2018,95,1
District_50,Chikungunya,2018,86,2
District_50,Dengue,2018,15,2
District_50,Yellow fever,2018,76,2
District_50,Malaria,2018,8,2
District_50,Chikungunya,2018,63,3
District_50,Dengue,2018,5,3
District_50,Yellow fever,2018,49,3
District_50,Malaria,2018,4,3
District_51,Chikungunya,2018,97,0
District_51,Dengue,2018,8,0
District_51,Yellow fever,2018,42,0
District_51,Malaria,2018,17,0
District_51,Chikungunya,2018,72,1
District_51,Dengue,2018,6,1
District_51,Yellow fever,2018,78,1
District_51,Malaria,2018,8,1
District_51,Chikungunya,2018,30,2
District_51,Dengue,2018,25,2
District_51,Yellow fever,2018,21,2
District_51,Malaria,2018,23,2
District_51,Chikungunya,2018,87,3
District_51,Dengue,2018,41,3
District_51,Yellow fever,2018,30,3
District_51,Malaria,2018,41,3
District_52,Chikungunya,2018,92,0
District_52,Dengue,2018,84,0
District_52,Yellow fever,2018,84,0
District_52,Malaria,2018,48,0
