District,Year,Temperature,Humidity,Rainfall,Quarter,State
District_56,2018,29,68,22,0,State_10
District_56,2018,24,42,364,1,State_10
District_56,2018,31,63,84,2,State_10
District_56,2018,37,41,132,3,State_10
District_57,2018,30,81,222,0,State_16
District_57,2018,20,78,35,1,State_16
District_57,2018,36,60,135,2,State_16
District_57,2018,32,83,330,3,State_16
District_58,2018,37,75,25,0,State_19
District_58,2018,31,57,23,1,State_19
District_58,2018,28,49,9,2,State_19
District_58,2018,32,49,456,3,State_19
District_59,2018,25,64,402,0,State_19
District_59,2018,26,48,353,1,State_19
District_59,2018,20,57,148,2,State_19
District_59,2018,20,47,148,3,State_19
District_60,2018,26,54,194,0,State_4
District_60,2018,30,73,147,1,State_4
District_60,2018,31,57,209,2,State_4
District_60,2018,23,41,161,3,State_4
District_61,2018,20,84,486,0,State_26
District_61,2018,31,46,432,1,State_26
District_61,2018,29,86,288,2,State_26
District_61,2018,21,62,333,3,State_26
District_62,2018,27,65,252,0,State_16
District_62,2018,38,78,469,1,State_16
District_62,2018,36,71,244,2,State_16
District_62,2018,22,61,387,3,State_16
District_63,2018,30,84,280,0,State_2
District_63,2018,31,88,423,1,State_2
District_63,2018,22,79,176,2,State_2
District_63,2018,30,48,269,3,State_2
District_64,2018,26,41,149,0,State_8
District_64,2018,31,89,186,1,State_8
District_64,2018,22,63,8,2,State_8
District_64,2018,32,50,16,3,State_8
District_65,2018,31,76,133,0,State_20
District_65,2018,31,42,463,1,State_20
District_65,2018,31,43,94,2,State_20
District_65,2018,37,74,82,3,State_20
District_66,2018,23,44,410,0,State_1
District_66,2018,38,81,24,1,State_1
District_66,2018,28,56,391,2,State_1
District_66,2018,28,48,479,3,State_1
District_67,2018,27,73,180,0,State_24
District_67,2018,26,64,339,1,State_24
District_67,2018,34,50,456,2,State_24
District_67,2018,34,53,252,3,State_24
District_68,2018,21,57,19,0,State_5
District_68,2018,27,85,342,1,State_5
District_68,2018,32,45,138,2,State_5
District_68,2018,33,76,381,3,State_5
District_69,2018,26,78,46,0,State_11
District_69,2018,24,84,490,1,State_11
District_69,2018,34,61,151,2,State_11
District_69,2018,20,62,449,3,State_11
District_70,2018,34,89,449,0,State_4
District_70,2018,22,47,112,1,State_4
District_70,2018,35,70,252,2,State_4
District_70,2018,20,62,394,3,State_4
District_71,2018,21,89,161,0,State_8
District_71,2018,33,53,27,1,State_8
District_71,2018,36,45,86,2,State_8
District_71,2018,35,82,325,3,State_8
District_72,2018,23,55,453,0,State_17
District_72,2018,35,66,64,1,State_17
District_72,2018,33,53,89,2,State_17
District_72,2018,29,70,256,3,State_17
District_73,2018,24,81,455,0,State_14
District_73,2018,21,57,75,1,State_14
District_73,2018,39,79,417,2,State_14
District_73,2018,26,66,410,3,State_14
District_74,2018,26,79,305,0,State_2
District_74,2018,28,61,451,1,State_2
District_74,2018,39,77,428,2,State_2
District_74,2018,38,79,225,3,State_2
District_75,2018,28,60,253,0,State_7
District_75,2018,31,64,125,1,State_7
District_75,2018,26,83,75,2,State_7
District_75,2018,22,88,352,3,State_7
District_76,2018,23,71,267,0,State_7
District_76,2018,38,79,165,1,State_7
District_76,2018,33,44,206,2,State_7
District_76,2018,20,47,199,3,State_7
District_77,2018,24,75,103,0,State_17
District_77,2018,31,67,433,1,State_17
District_77,2018,29,57,77,2,State_17
District_77,2018,33,53,109,3,State_17
District_78,2018,24,43,219,0,State_27
District_78,2018,29,45,439,1,State_27
District_78,2018,22,57,59,2,State_27
District_78,2018,25,40,76,3,State_27
District_79,2018,36,51,268,0,State_26
District_79,2018,36,47,297,1,State_26
District_79,2018,20,58,182,2,State_26
District_79,2018,31,44,83,3,State_26
District_80,2018,31,48,222,0,State_2
District_80,2018,39,88,388,1,State_2
District_80,2018,36,77,48,2,State_2
District_80,2018,38,80,274,3,State_2
District_81,2018,29,89,438,0,State_6
District_81,2018,34,83,467,1,State_6
District_81,2018,28,48,122,2,State_6
District_81,2018,27,53,417,3,State_6
District_82,2018,30,76,361,0,State_2
District_82,2018,32,88,471,1,State_2
District_82,2018,21,72,239,2,State_2
District_82,2018,33,40,383,3,State_2
District_83,2018,23,52,253,0,State_19
District_83,2018,29,43,392,1,State_19
District_83,2018,22,62,43,2,State_19
District_83,2018,22,49,116,3,State_19
District_84,2018,31,76,368,0,State_18
District_84,2018,27,80,112,1,State_18
District_84,2018,38,83,140,2,State_18
District_84,2018,32,73,170,3,State_18
District_85,2018,37,53,126,0,State_22
District_85,2018,26,44,299,1,State_22
District_85,2018,39,83,35,2,State_22
District_85,2018,29,50,168,3,State_22
District_86,2018,28,72,15,0,State_27
District_86,2018,32,42,219,1,State_27
District_86,2018,25,67,40,2,State_27
District_86,2018,28,59,322,3,State_27
District_87,2018,36,63,494,0,State_24
District_87,2018,21,49,331,1,State_24
District_87,2018,36,52,175,2,State_24
District_87,2018,30,64,273,3,State_24
District_88,2018,20,78,18,0,State_8
District_88,2018,23,60,274,1,State_8
District_88,2018,25,41,305,2,State_8
District_88,2018,38,49,216,3,State_8
District_89,2018,36,50,310,0,State_23
District_89,2018,26,54,71,1,State_23
District_89,2018,25,50,248,2,State_23
District_89,2018,39,70,10,3,State_23
District_90,2018,39,74,182,0,State_7
District_90,2018,39,51,438,1,State_7
District_90,2018,30,44,38,2,State_7
District_90,2018,20,75,166,3,State_7
District_91,2018,25,66,62,0,State_3
District_91,2018,33,50,440,1,State_3
District_91,2018,32,47,298,2,State_3
District_91,2018,28,78,441,3,State_3
District_92,2018,23,59,208,0,State_27
District_92,2018,32,41,293,1,State_27
District_92,2018,30,77,477,2,State_27
District_92,2018,26,44,278,3,State_27
District_93,2018,29,47,32,0,State_25
District_93,2018,37,58,184,1,State_25
District_93,2018,22,66,78,2,State_25
District_93,2018,27,78,295,3,State_25
District_94,2018,22,79,19,0,State_22
District_94,2018,26,44,34,1,State_22
District_94,2018,22,78,470,2,State_22
District_94,2018,32,87,280,3,State_22
District_95,2018,30,49,241,0,State_21
District_95,2018,20,79,188,1,State_21
District_95,2018,21,41,383,2,State_21
District_95,2018,20,71,17,3,State_21
District_96,2018,36,72,150,0,State_5
District_96,2018,37,74,51,1,State_5
District_96,2018,21,79,292,2,State_5
District_96,2018,25,41,284,3,State_5
District_97,2018,34,51,83,0,State_4
District_97,2018,39,46,177,1,State_4
District_97,2018,31,83,215,2,State_4
District_97,2018,28,88,221,3,State_4
District_98,2018,35,54,295,0,State_20
District_98,2018,26,49,478,1,State_20
District_98,2018,25,63,329,2,State_20
District_98,2018,32,72,78,3,State_20
District_99,2018,34,80,338,0,State_19
District_99,2018,24,44,464,1,State_19
District_99,2018,29,81,153,2,State_19
District_99,2018,36,40,138,3,State_19
District_100,2018,39,42,141,0,State_6
District_100,2018,35,49,397,1,State_6
District_100,2018,31,40,44,2,State_6
District_100,2018,34,86,172,3,State_6
District_101,2018,32,71,464,0,State_15
District_101,2018,23,79,88,1,State_15
District_101,2018,39,49,244,2,State_15
District_101,2018,28,44,457,3,State_15
District_102,2018,33,79,254,0,State_6
District_102,2018,36,53,36,1,State_6
District_102,2018,31,53,390,2,State_6
District_102,2018,29,82,467,3,State_6
District_103,2018,27,58,176,0,State_2
District_103,2018,23,77,384,1,State_2
District_103,2018,27,64,121,2,State_2
District_103,2018,21,48,355,3,State_2
District_104,2018,29,51,233,0,State_26
District_104,2018,29,68,310,1,State_26
District_104,2018,38,49,297,2,State_26
District_104,2018,33,86,14,3,State_26
District_105,2018,33,55,449,0,State_26
District_105,2018,37,77,96,1,State_26
District_105,2018,29,59,125,2,State_26
District_105,2018,39,64,367,3,State_26
District_106,2018,38,48,349,0,State_16
District_106,2018,30,78,403,1,State_16
District_106,2018,30,43,393,2,State_16
District_106,2018,23,81,373,3,State_16
District_107,2018,37,43,89,0,State_25
District_107,2018,31,68,223,1,State_25
District_107,2018,31,74,371,2,State_25
District_107,2018,25,68,173,3,State_25
District_108,2018,26,60,356,0,State_12
District_108,2018,22,73,6,1,State_12
District_108,2018,32,45,311,2,State_12
District_108,2018,21,71,274,3,State_12
District_109,2018,32,70,11,0,State_8
District_109,2018,30,81,35,1,State_8
District_109,2018,29,77,110,2,State_8
District_109,2018,38,58,432,3,State_8
District_110,2018,22,85,291,0,State_10
District_110,2018,39,76,253,1,State_10
District_110,2018,21,79,374,2,State_10
District_110,2018,34,80,33,3,State_10
District_111,2018,36,57,367,0,State_26
District_111,2018,33,89,439,1,State_26
District_111,2018,28,80,225,2,State_26
District_111,2018,27,88,463,3,State_26
District_112,2018,27,57,255,0,State_13
District_112,2018,21,54,281,1,State_13
District_112,2018,31,84,311,2,State_13
District_112,2018,36,57,490,3,State_13
District_113,2018,21,60,100,0,State_25
District_113,2018,26,43,221,1,State_25
District_113,2018,26,81,138,2,State_25
District_113,2018,33,72,370,3,State_25
District_114,2018,39,74,333,0,State_18
District_114,2018,20,46,266,1,State_18
District_114,2018,39,70,274,2,State_18
District_114,2018,29,59,463,3,State_18
District_115,2018,20,53,91,0,State_14
District_115,2018,26,63,440,1,State_14
District_115,2018,28,87,210,2,State_14
District_115,2018,27,89,404,3,State_14
District_116,2018,23,53,324,0,State_6
District_116,2018,29,42,186,1,State_6
District_116,2018,32,40,39,2,State_6
District_116,2018,25,42,467,3,State_6
District_117,2018,23,84,338,0,State_9
District_117,2018,34,68,429,1,State_9
District_117,2018,32,66,181,2,State_9
District_117,2018,26,56,311,3,State_9
District_118,2018,26,80,296,0,State_8
District_118,2018,25,49,162,1,State_8
District_118,2018,30,43,322,2,State_8
District_118,2018,20,56,54,3,State_8
District_119,2018,21,53,174,0,State_5
District_119,2018,34,41,95,1,State_5
District_119,2018,30,52,123,2,State_5
District_119,2018,24,57,187,3,State_5
District_120,2018,28,47,394,0,State_15
District_120,2018,38,68,256,1,State_15
District_120,2018,21,75,56,2,State_15
District_120,2018,21,60,383,3,State_15
District_121,2018,31,74,58,0,State_20
District_121,2018,31,78,252,1,State_20
District_121,2018,23,65,287,2,State_20
District_121,2018,33,84,221,3,State_20
District_122,2018,25,52,4,0,State_13
District_122,2018,25,73,281,1,State_13
District_122,2018,25,42,292,2,State_13
District_122,2018,37,56,59,3,State_13
District_123,2018,22,74,446,0,State_9
District_123,2018,27,58,155,1,State_9
District_123,2018,21,61,416,2,State_9
District_123,2018,36,76,65,3,State_9
District_124,2018,22,40,479,0,State_21
District_124,2018,37,41,352,1,State_21
District_124,2018,21,79,42,2,State_21
District_124,2018,30,69,24,3,State_21
District_125,2018,22,74,279,0,State_26
District_125,2018,23,52,61,1,State_26
District_125,2018,23,53,210,2,State_26
District_125,2018,25,81,106,3,State_26
District_126,2018,20,73,380,0,State_1
District_126,2018,21,87,138,1,State_1
District_126,2018,37,80,148,2,State_1
District_126,2018,34,57,276,3,State_1
District_127,2018,36,88,345,0,State_11
District_127,2018,33,75,332,1,State_11
District_127,2018,34,60,81,2,State_11
District_127,2018,22,59,297,3,State_11
District_128,2018,30,65,365,0,State_20
District_128,2018,29,40,330,1,State_20
District_128,2018,32,54,132,2,State_20
District_128,2018,36,70,497,3,State_20
District_129,2018,31,57,10,0,State_22
District_129,2018,29,47,464,1,State_22
District_129,2018,21,42,56,2,State_22
District_129,2018,25,89,87,3,State_22
District_130,2018,36,45,104,0,State_13
District_130,2018,32,66,384,1,State_13
District_130,2018,20,57,35,2,State_13
District_130,2018,31,57,239,3,State_13
District_131,2018,31,82,457,0,State_17
District_131,2018,26,65,287,1,State_17
District_131,2018,39,82,239,2,State_17
District_131,2018,30,59,354,3,State_17
District_132,2018,39,40,357,0,State_7
District_132,2018,39,52,185,1,State_7
District_132,2018,35,61,287,2,State_7
District_132,2018,30,42,46,3,State_7
District_133,2018,22,53,230,0,State_20
District_133,2018,20,82,103,1,State_20
District_133,2018,36,69,72,2,State_20
District_133,2018,36,66,18,3,State_20
District_134,2018,37,67,22,0,State_27
District_134,2018,22,89,66,1,State_27
District_134,2018,39,65,398,2,State_27
District_134,2018,38,75,50,3,State_27
District_135,2018,34,41,156,0,State_27
District_135,2018,29,66,100,1,State_27
District_135,2018,20,89,276,2,State_27
District_135,2018,21,79,275,3,State_27
District_136,2018,33,82,85,0,State_26
District_136,2018,36,84,286,1,State_26
District_136,2018,23,60,424,2,State_26
District_136,2018,29,53,37,3,State_26
District_137,2018,39,72,150,0,State_2
District_137,2018,21,74,70,1,State_2
District_137,2018,26,46,197,2,State_2
District_137,2018,35,77,17,3,State_2
District_138,2018,28,51,277,0,State_8
District_138,2018,39,71,133,1,State_8
District_138,2018,28,67,90,2,State_8
District_138,2018,35,71,236,3,State_8
District_139,2018,36,55,233,0,State_3
District_139,2018,28,47,66,1,State_3
District_139,2018,24,40,18,2,State_3
District_139,2018,37,43,468,3,State_3
District_140,2018,31,62,382,0,State_14
District_140,2018,34,86,250,1,State_14
District_140,2018,35,43,0,2,State_14
District_140,2018,27,79,150,3,State_14
District_141,2018,22,59,381,0,State_24
District_141,2018,26,51,480,1,State_24
District_141,2018,34,57,92,2,State_24
District_141,2018,20,88,151,3,State_24
District_142,2018,26,75,229,0,State_23
District_142,2018,29,58,161,1,State_23
District_142,2018,24,62,225,2,State_23
District_142,2018,22,61,378,3,State_23
District_143,2018,33,52,326,0,State_27
District_143,2018,28,59,99,1,State_27
District_143,2018,22,58,438,2,State_27
District_143,2018,25,49,111,3,State_27
District_144,2018,33,69,117,0,State_27
District_144,2018,31,79,311,1,State_27
District_144,2018,37,40,422,2,State_27
District_144,2018,36,50,477,3,State_27
District_145,2018,25,41,138,0,State_26
District_145,2018,22,74,467,1,State_26
District_145,2018,31,67,423,2,State_26
District_145,2018,21,78,133,3,State_26
District_146,2018,21,56,319,0,State_21
District_146,2018,39,60,394,1,State_21
District_146,2018,35,87,445,2,State_21
District_146,2018,29,57,16,3,State_21
District_147,2018,22,66,35,0,State_11
District_147,2018,27,52,324,1,State_11
District_147,2018,26,65,222,2,State_11
District_147,2018,25,41,100,3,State_11
District_148,2018,37,51,111,0,State_2
District_148,2018,32,70,452,1,State_2
District_148,2018,24,45,251,2,State_2
District_148,2018,37,62,58,3,State_2
District_149,2018,26,85,114,0,State_23
District_149,2018,39,41,340,1,State_23
District_149,2018,28,75,183,2,State_23
District_149,2018,36,76,337,3,State_23
District_150,2018,21,87,323,0,State_3
District_150,2018,28,80,106,1,State_3
District_150,2018,20,81,107,2,State_3
District_150,2018,38,71,397,3,State_3
District_151,2018,29,58,382,0,State_12
District_151,2018,27,58,390,1,State_12
District_151,2018,36,42,111,2,State_12
District_151,2018,34,40,479,3,State_12
District_152,2018,23,72,305,0,State_2
District_152,2018,34,81,342,1,State_2
District_152,2018,20,65,2,2,State_2
District_152,2018,30,58,118,3,State_2
District_153,2018,26,86,71,0,State_21
District_153,2018,36,47,21,1,State_21
District_153,2018,39,43,276,2,State_21
District_153,2018,26,86,24,3,State_21
District_154,2018,36,68,72,0,State_24
District_154,2018,24,55,192,1,State_24
District_154,2018,26,74,318,2,State_24
District_154,2018,25,52,459,3,State_24
District_155,2018,20,42,175,0,State_16
District_155,2018,28,63,357,1,State_16
District_155,2018,32,64,210,2,State_16
District_155,2018,37,60,150,3,State_16
District_156,2018,35,60,262,0,State_21
District_156,2018,21,48,170,1,State_21
District_156,2018,33,46,402,2,State_21
District_156,2018,34,45,459,3,State_21
District_157,2018,38,45,80,0,State_21
District_157,2018,39,79,362,1,State_21
District_157,2018,23,79,89,2,State_21
District_157,2018,39,89,455,3,State_21
District_158,2018,29,79,94,0,State_20
District_158,2018,39,78,37,1,State_20
District_158,2018,26,54,388,2,State_20
District_158,2018,26,52,82,3,State_20
District_159,2018,26,89,106,0,State_16
District_159,2018,24,54,403,1,State_16
District_159,2018,34,83,427,2,State_16
District_159,2018,33,42,325,3,State_16
District_160,2018,37,42,365,0,State_2
District_160,2018,35,64,346,1,State_2
District_160,2018,25,72,443,2,State_2
District_160,2018,25,47,95,3,State_2
District_161,2018,21,67,152,0,State_6
District_161,2018,20,57,332,1,State_6
District_161,2018,32,68,363,2,State_6
District_161,2018,37,58,388,3,State_6
District_162,2018,36,44,359,0,State_27
District_162,2018,27,49,282,1,State_27
District_162,2018,32,76,214,2,State_27
District_162,2018,25,75,462,3,State_27
District_163,2018,36,55,251,0,State_17
District_163,2018,24,80,361,1,State_17
District_163,2018,33,66,398,2,State_17
District_163,2018,38,76,239,3,State_17
District_164,2018,21,69,174,0,State_23
District_164,2018,37,67,466,1,State_23
District_164,2018,29,74,159,2,State_23
District_164,2018,27,81,392,3,State_23
District_165,2018,34,44,102,0,State_13
District_165,2018,37,52,31,1,State_13
District_165,2018,27,66,146,2,State_13
District_165,2018,36,49,421,3,State_13
District_166,2018,22,65,77,0,State_12
District_166,2018,20,51,43,1,State_12
District_166,2018,28,46,295,2,State_12
District_166,2018,29,51,37,3,State_12
District_167,2018,21,81,56,0,State_7
District_167,2018,24,84,106,1,State_7
District_167,2018,22,70,366,2,State_7
District_167,2018,22,56,290,3,State_7
District_168,2018,35,45,449,0,State_26
District_168,2018,39,80,146,1,State_26
District_168,2018,36,44,266,2,State_26
District_168,2018,20,76,290,3,State_26
District_169,2018,29,71,27,0,State_3
District_169,2018,30,76,291,1,State_3
District_169,2018,26,57,125,2,State_3
District_169,2018,21,82,127,3,State_3
District_170,2018,35,62,170,0,State_4
District_170,2018,22,42,183,1,State_4
District_170,2018,29,53,140,2,State_4
District_170,2018,29,57,35,3,State_4
District_171,2018,23,45,221,0,State_9
District_171,2018,25,58,282,1,State_9
District_171,2018,20,58,321,2,State_9
District_171,2018,34,48,169,3,State_9
District_172,2018,23,47,193,0,State_13
District_172,2018,24,88,357,1,State_13
District_172,2018,24,80,433,2,State_13
District_172,2018,26,76,134,3,State_13
District_173,2018,22,73,267,0,State_11
District_173,2018,20,88,288,1,State_11
District_173,2018,20,73,289,2,State_11
District_173,2018,35,46,233,3,State_11
District_174,2018,27,44,342,0,State_4
District_174,2018,32,50,409,1,State_4
District_174,2018,39,81,133,2,State_4
District_174,2018,33,83,209,3,State_4
District_175,2018,38,49,148,0,State_21
District_175,2018,20,58,485,1,State_21
District_175,2018,30,52,10,2,State_21
District_175,2018,32,50,221,3,State_21
District_176,2018,37,54,194,0,State_18
District_176,2018,37,55,384,1,State_18
District_176,2018,24,74,227,2,State_18
District_176,2018,25,61,327,3,State_18
District_177,2018,28,68,182,0,State_9
District_177,2018,28,44,131,1,State_9
District_177,2018,20,55,219,2,State_9
District_177,2018,30,43,60,3,State_9
District_178,2018,23,70,172,0,State_4
District_178,2018,39,49,253,1,State_4
District_178,2018,38,86,113,2,State_4
District_178,2018,35,80,335,3,State_4
District_179,2018,24,76,52,0,State_9
District_179,2018,33,88,410,1,State_9
District_179,2018,27,67,258,2,State_9
District_179,2018,34,46,445,3,State_9
District_180,2018,28,47,440,0,State_5
District_180,2018,32,55,343,1,State_5
District_180,2018,35,73,147,2,State_5
District_180,2018,34,89,191,3,State_5
District_181,2018,21,58,258,0,State_7
District_181,2018,29,88,436,1,State_7
District_181,2018,23,76,124,2,State_7
District_181,2018,31,70,76,3,State_7
District_182,2018,29,54,466,0,State_18
District_182,2018,24,88,320,1,State_18
District_182,2018,33,44,335,2,State_18
District_182,2018,27,66,37,3,State_18
District_183,2018,34,84,414,0,State_3
District_183,2018,20,82,498,1,State_3
District_183,2018,35,58,326,2,State_3
District_183,2018,30,69,465,3,State_3
District_184,2018,35,80,94,0,State_17
